Sort Order,Day,Time,Library Name,Address,URL,Area
2,Tuesday,18:30 - 19:30,Nepean Centrepointe,101 Centrepointe Dr,https://biblioottawalibrary.ca/en/program?f%5B0%5D=field_event_branch%3A1109,West - Nepean
3,Wednesday,10:30 - 11:30,Nepean Centrepointe,101 Centrepointe Dr,https://biblioottawalibrary.ca/en/program?f%5B0%5D=field_event_branch%3A1109,West - Nepean
