Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://biblioottawalibrary.ca/en/event/monday-evening-book-club,Monday Evening Book Club,Monday,3-Mar-25,2-Jun-25,6:45pm,Rideau,377 Rideau,Central,English,"Adult, Adults 50-plus",Book Talks
https://biblioottawalibrary.ca/en/event/french-conversation-group-groupe-de-conversation-en-fran%C3%A7ais-2,French Conversation Group,Monday,3-Mar-25,23-Jun-25,7:00pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,Français,Adult,Language learning
https://biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-3,Groupe de conversation en français,Tuesday,4-Mar-25,27-May-25,10:15am,Main,120 Metcalfe,Central,Français,Adult,Language learning
https://biblioottawalibrary.ca/en/event/morning-social-la-matin%C3%A9e-sociale-1,The Morning Social,Tuesday,4-Mar-25,26-Jun-25,10:15am,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/family-storytime-vanier-contes-et-chansons-en-familles-%C3%A0-vanier-0,Family Storytime at Vanier,Tuesday,4-Mar-25,25-Mar-25,10:30am,Vanier,310 Pères Blancs,East - Vanier,Bilingual,"Baby, Family, Toddler","Storytime, Toddlertime"
https://biblioottawalibrary.ca/en/event/homeschool-hangout,Homeschool Hangout,Tuesday,4-Mar-25,4-Mar-25,10:30am,Greely,1448 Meadow Drive,South - Greely,English,Family,Homework and Reading Support
https://biblioottawalibrary.ca/en/event/knitting-and-crochet-club-groupe-de-tricot-et-crochet-1,Knitting and Crochet Club,Tuesday,4-Mar-25,24-Jun-25,1:00pm,St-Laurent,515 Côté,East - Vanier,Bilingual,"Adult, Teen",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/greenbelt-esl-conversation-group,Greenbelt ESL Conversation Group,Tuesday,4-Mar-25,17-Jun-25,1:00pm,North Gloucester,2036 Ogilvie,East - Vanier,English,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/carp-social-knitwork-11,Carp social KNITwork,Tuesday,4-Mar-25,29-Apr-25,1:00pm,Carp,3911 Carp,West - Carp,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/parenting-ottawa-drop-4,Parenting in Ottawa Drop-in,Tuesday,4-Mar-25,24-Jun-25,1:00pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Baby, Family",Parenting
https://biblioottawalibrary.ca/en/event/rockcliffe-park-adult-bookclub,Rockcliffe Park Adult Bookclub,Tuesday,4-Mar-25,3-Jun-25,1:30pm,Rockcliffe Park,380 Springfield,East - Vanier,English,Adult,Book Talks
https://biblioottawalibrary.ca/en/event/employment-support-4,Employment Support,Tuesday,4-Mar-25,4-Mar-25,1:30pm,Stittsville,1637 Stittsville Main,West - Stittsville,English,"Adult, Adults 50-plus, Newcomers",Jobs and careers
https://biblioottawalibrary.ca/en/event/crafternoon-35,Crafternoon,Tuesday,4-Mar-25,25-Mar-25,2:00pm,Centennial,3870 Old Richmond,West - Nepean,English,Adult,Arts and Crafts
https://biblioottawalibrary.ca/en/event/video-game-drop-teens-1,Video Game Drop-In for Teens,Tuesday,4-Mar-25,10-Jun-25,3:00pm,Beaverbrook,2500 Campeau,West - Kanata,English,Teen,Games and Gaming
https://biblioottawalibrary.ca/en/event/virtual-reality-gaming-37,Virtual Reality Gaming,Tuesday,4-Mar-25,3-Jun-25,3:30pm,Cumberland,1599 Tenth Line,East - Orleans,English,"Adult, Teen",Games and Gaming
https://biblioottawalibrary.ca/en/event/techno-buddies-35,Techno Buddies,Tuesday,4-Mar-25,4-Mar-25,3:30pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Computers and technology
https://biblioottawalibrary.ca/en/event/chess-club-d%C3%A9checs,Chess Club D'échecs,Tuesday,4-Mar-25,24-Jun-25,3:30pm,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Child, Family, Teen","Games and Gaming, Hobbies and Interests, Social Connections"
https://biblioottawalibrary.ca/en/event/homework-help-aide-aux-devoirs-0,Homework Help,Tuesday,4-Mar-25,10-Jun-25,5:00pm,Orléans,1705 Orléans,East - Orleans,Bilingual,Child,Homework and Reading Support
https://biblioottawalibrary.ca/en/event/board-games-brain-teasers-0,Board Games & Brain Teasers,Tuesday,4-Mar-25,18-Mar-25,5:30pm,Centennial,3870 Old Richmond,West - Nepean,English,"Adult, Family, Teen",Games and Gaming
https://biblioottawalibrary.ca/en/event/pen-and-paper-writers-group-1,Pen and Paper Writer's Group,Tuesday,4-Mar-25,29-Apr-25,6:00pm,Rideau,377 Rideau,Central,English,"Adult, Adults 50-plus",Writing and poetry
https://biblioottawalibrary.ca/en/event/french-conversation-group-groupe-de-conversation-en-fran%C3%A7ais-0,French Conversation Group - Groupe de conversation en français,Tuesday,4-Mar-25,24-Jun-25,6:00pm,Rosemount,18 Rosemount,West - Nepean,Français,Adult,Language learning
https://biblioottawalibrary.ca/en/event/tuesday-english-conversation-group-3,Tuesday English Conversation Group,Tuesday,4-Mar-25,24-Jun-25,6:00pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/armchair-travel-danube-0,Armchair Travel: The Danube,Tuesday,4-Mar-25,4-Mar-25,6:00pm,Sunnyside,1049 Bank,South - Alta Vista,English,"Adult, Adults 50-plus",Travel
https://biblioottawalibrary.ca/en/event/coloring-mind-adult-coloring-clubart-th%C3%A9rapie-club-de-coloriage-pour-adultes-0,Coloring For the Mind - Adult Coloring Club,Tuesday,4-Mar-25,24-Jun-25,6:00pm,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,Adult,Arts and Crafts
https://biblioottawalibrary.ca/en/event/craft-night-0,Craft Night,Tuesday,4-Mar-25,27-Nov-25,6:00pm,Munster,7749 Bleeks,West - Munster,English,Adult,Arts and Crafts
https://biblioottawalibrary.ca/en/event/greenboro-knitting-group-groupe-de-tricot-greenboro-14,Greenboro Knitting Group,Tuesday,4-Mar-25,25-Mar-25,6:15pm,Greenboro,363 Lorry Greenberg,South - Alta Vista,Bilingual,"Adult, Adults 50-plus, Teen",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/learn-crochet-mini-bird%E2%80%8B,Learn to Crochet a Mini Bird​,Tuesday,4-Mar-25,4-Mar-25,6:15pm,Carlingwood,281 Woodroffe,West - Nepean,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/english-conversation-group-6,English Conversation Group,Tuesday,4-Mar-25,24-Jun-25,6:30pm,Carlingwood,281 Woodroffe,West - Nepean,English,"Adult, Adults 50-plus",Language learning
https://biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-french-conversation-group-18,Groupe de conversation en français,Tuesday,4-Mar-25,24-Jun-25,6:30pm,St-Laurent,515 Côté,East - Vanier,Français,Adult,Language learning
https://biblioottawalibrary.ca/en/event/mindful-art-zentangle-1,Mindful Art of Zentangle,Tuesday,4-Mar-25,4-Mar-25,6:30pm,Hazeldean,50 Castlefrank,West - Kanata,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/tuesday-english-conversation-group-4,Tuesday English Conversation Group,Tuesday,4-Mar-25,24-Jun-25,6:30pm,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/knit-wits-tricoth%C3%A9-1,Knit Wits,Tuesday,4-Mar-25,30-Dec-25,6:30pm,North Gloucester,2036 Ogilvie,East - Vanier,Bilingual,"Adult, Adults 50-plus, Teen",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/dungeons-dragons-16,Dungeons & Dragons,Tuesday,4-Mar-25,27-May-25,6:30pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Teen,Games and Gaming
https://biblioottawalibrary.ca/en/event/esl-conversation-group-4,ESL Conversation Group,Tuesday,4-Mar-25,10-Jun-25,6:45pm,Sunnyside,1049 Bank,South - Alta Vista,English,"Adult, Newcomers, Teen",Language learning
https://biblioottawalibrary.ca/en/event/english-conversation-group-42,English Conversation Group,Tuesday,4-Mar-25,4-Mar-25,7:00pm,Beaverbrook,2500 Campeau,West - Kanata,English,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/english-conversation-group-22,English Conversation Group,Wednesday,5-Mar-25,25-Jun-25,10:15am,Main,120 Metcalfe,Central,English,Adult,Language learning
https://biblioottawalibrary.ca/en/event/wednesday-english-conversation-group-1,Wednesday English Conversation Group,Wednesday,5-Mar-25,25-Jun-25,10:30am,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/family-storytime-691,Family Storytime,Wednesday,5-Mar-25,26-Mar-25,10:30am,Carp,3911 Carp,West - Carp,English,Family,Family storytime
https://biblioottawalibrary.ca/en/event/stay-play-11,Stay & Play,Wednesday,5-Mar-25,26-Mar-25,11:00am,Carp,3911 Carp,West - Carp,English,"Baby, Child, Family","Babytime, Family storytime, Kids, Storytime, Toddlertime"
https://biblioottawalibrary.ca/en/event/knit-knatter-3,Knit & Knatter,Wednesday,5-Mar-25,11-Jun-25,12:00pm,Sunnyside,1049 Bank,South - Alta Vista,English,"Adult, Adults 50-plus, Teen",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/parenting-ottawa-drop-0,Parenting in Ottawa Drop-in,Wednesday,5-Mar-25,25-Jun-25,1:00pm,Beaverbrook,2500 Campeau,West - Kanata,English,"Adult, Baby, Family",Parenting
https://biblioottawalibrary.ca/en/event/knitting-and-crochet-club-groupe-de-tricot-et-crochet-0,Knitting and Crochet Club,Wednesday,5-Mar-25,25-Jun-25,1:00pm,Orléans,1705 Orléans,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/north-gower-nifty-knitters-1,North Gower Nifty Knitters,Wednesday,5-Mar-25,25-Jun-25,1:00pm,North Gower,6579 Fourth Line,West - North Gover,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/rosemount-knitting-group,Rosemount Knitting Group,Wednesday,5-Mar-25,25-Jun-25,1:30pm,Rosemount,18 Rosemount,West - Nepean,English,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/reading-group-1,Reading Group #1,Wednesday,5-Mar-25,4-Jun-25,2:00pm,Carlingwood,281 Woodroffe,West - Nepean,English,"Adult, Adults 50-plus",Book Talks
https://biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-interm%C3%A9diaire-2,Groupe de conversation en français - intermédiaire,Wednesday,5-Mar-25,25-Jun-25,2:00pm,Main,120 Metcalfe,Central,Français,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/afternoon-social,Afternoon Social,Wednesday,5-Mar-25,25-Jun-25,2:00pm,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/game-afternoons-les-jeux-en-apr%C3%A8s-midi,Game afternoons,Wednesday,5-Mar-25,21-May-25,2:30pm,St-Laurent,515 Côté,East - Vanier,Bilingual,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/after-school-club,After School Club,Wednesday,5-Mar-25,28-May-25,3:30pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Child,"Arts and Crafts, Film and Movie Showing, Games and Gaming, Hobbies and Interests, Kids, Science and Discovery, Writing and poetry"
https://biblioottawalibrary.ca/en/event/techno-buddies%E2%80%8B,Techno Buddies​,Wednesday,5-Mar-25,11-Jun-25,4:00pm,Elmvale Acres,1910 St-Laurent,South - Alta Vista,English,"Adult, Adults 50-plus",Computers and technology
https://biblioottawalibrary.ca/en/event/chess-club-10,Chess Club,Wednesday,5-Mar-25,25-Jun-25,4:00pm,Main,120 Metcalfe,Central,English,Adult,Hobbies and Interests
https://biblioottawalibrary.ca/en/event/creative-builders-club,Creative Builders Club,Wednesday,5-Mar-25,9-Apr-25,4:00pm,Beaverbrook,2500 Campeau,West - Kanata,English,Child,Book Clubs
https://biblioottawalibrary.ca/en/event/teen-art-club-club-dart-pour-les-ados-0,Teen Art Club,Wednesday,5-Mar-25,5-Mar-25,4:00pm,Greenboro,363 Lorry Greenberg,South - Alta Vista,Bilingual,Teen,Arts and Crafts
https://biblioottawalibrary.ca/en/event/homework-helpclub-de-devoirs-1,Homework Help,Wednesday,5-Mar-25,11-Jun-25,5:00pm,St-Laurent,515 Côté,East - Vanier,Bilingual,Child,Homework and Reading Support
https://biblioottawalibrary.ca/en/event/homework-help-club-de-devoirs-5,Homework Help | Club de devoirs,Wednesday,5-Mar-25,5-Mar-25,5:00pm,Greenboro,363 Lorry Greenberg,South - Alta Vista,Bilingual,Child,Homework and Reading Support
https://biblioottawalibrary.ca/en/event/homework-helpclub-de-devoirs,Homework Help,Wednesday,5-Mar-25,11-Jun-25,5:30pm,Carlingwood,281 Woodroffe,West - Nepean,Bilingual,Child,Homework and Reading Support
https://biblioottawalibrary.ca/en/event/social-crafting,Social Crafting,Wednesday,5-Mar-25,4-Jun-25,6:00pm,Manotick,5499 South River,West - Manotick,English,Adult,"Arts and Crafts, Hobbies and Interests"
https://biblioottawalibrary.ca/en/event/adult-english-conversation-group-groupe-de-conversation-en-anglais-pour-adultes-5,Adult English Conversation Group,Wednesday,5-Mar-25,26-Mar-25,6:30pm,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,Adult,"Language learning, Newcomers"
https://biblioottawalibrary.ca/en/event/english-conversation-group-29,English Conversation Group,Wednesday,5-Mar-25,25-Jun-25,6:30pm,Rosemount,18 Rosemount,West - Nepean,English,Adult,Language learning
https://biblioottawalibrary.ca/en/event/english-conversation-group-33,English Conversation Group,Wednesday,5-Mar-25,28-May-25,6:30pm,Main,120 Metcalfe,Central,English,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/bad-night-movies-return-captain-invincible,A (Bad) Night at the Movies: The Return of Captain Invincible,Wednesday,5-Mar-25,5-Mar-25,6:30pm,Main,120 Metcalfe,Central,English,Adult,Film and Movie Showing
https://biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-interm%C3%A9diaire-french-conversation-group-intermediate-15,Groupe de conversation en français (intermédiaire),Wednesday,5-Mar-25,18-Jun-25,6:30pm,Alta Vista,2516 Alta Vista,South - Alta Vista,Bilingual,Adult,Language learning
https://biblioottawalibrary.ca/en/event/stittsville-cozy-crafters,Stittsville Cozy Crafters,Wednesday,5-Mar-25,28-May-25,6:30pm,Stittsville,1637 Stittsville Main,West - Stittsville,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/wednesday-english-conversation-group-0,Wednesday English Conversation Group,Wednesday,5-Mar-25,25-Jun-25,6:30pm,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/beginners-english-conversation-classes,Beginners' English Conversation Classes,Wednesday,5-Mar-25,5-Mar-25,6:30pm,Elmvale Acres,1910 St-Laurent,South - Alta Vista,English,"Adult, Adults 50-plus, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/rideau-wednesday-english-conversation-group,Rideau Wednesday English Conversation Group,Wednesday,5-Mar-25,28-May-25,6:30pm,Rideau,377 Rideau,Central,English,"Adult, Adults 50-plus",Language learning
https://biblioottawalibrary.ca/en/event/english-conversation-circlegroupe-de-conversation-en-anglais-0,English Conversation Circle,Wednesday,5-Mar-25,25-Jun-25,6:30pm,Cumberland,1599 Tenth Line,East - Orleans,English,Adult,Language learning
https://biblioottawalibrary.ca/en/event/greely-writing-group-0,Greely Writing Group,Wednesday,5-Mar-25,16-Apr-25,6:30pm,Greely,1448 Meadow Drive,South - Greely,English,Adult,Writing and poetry
https://biblioottawalibrary.ca/en/event/travelling-arctic,Travelling to the Arctic,Wednesday,5-Mar-25,5-Mar-25,6:30pm,Sunnyside,1049 Bank,South - Alta Vista,English,Adult,Travel
https://biblioottawalibrary.ca/en/event/hazeldean-stitches-1,Hazeldean Stitches,Wednesday,5-Mar-25,25-Jun-25,7:00pm,Hazeldean,50 Castlefrank,West - Kanata,English,"Adult, Adults 50-plus",Hobbies and Interests
https://biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-french-conversation-group-25,Groupe de conversation en français | French Conversation Group,Wednesday,5-Mar-25,5-Mar-25,7:00pm,Beaverbrook,2500 Campeau,West - Kanata,Français,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/english-conversation-group-23,English conversation group,Thursday,6-Mar-25,26-Jun-25,6:15am,Main,120 Metcalfe,Central,English,Adult,Language learning
https://biblioottawalibrary.ca/en/event/help-accessing-employment-social-services-aide-%C3%A0-obtenir-des-services-sociaux-et-demploi,Help accessing Employment & Social Services,Thursday,6-Mar-25,24-Apr-25,10:00am,Main,120 Metcalfe,Central,Bilingual,Adult,Social services
https://biblioottawalibrary.ca/en/event/adult-english-conversation-groupgroupe-de-conversation-en-anglais-pour-adultes,Adult English Conversation Group,Thursday,6-Mar-25,27-Mar-25,10:30am,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,"Adult, Adults 50-plus, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/mahjong-library,Mahjong at the Library,Thursday,6-Mar-25,20-Mar-25,10:30am,Manotick,5499 South River,West - Manotick,English,"Adult, Adults 50-plus",Games and Gaming
https://biblioottawalibrary.ca/en/event/thursday-english-conversation-group,Thursday English Conversation Group,Thursday,6-Mar-25,26-Jun-25,10:30am,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/sensory-storytime-contes-sensoriels-1,Sensory Storytime | Contes Sensoriels,Thursday,6-Mar-25,5-Jun-25,10:30am,St-Laurent,515 Côté,East - Vanier,Bilingual,"Child, Family, Preschool",Family storytime
https://biblioottawalibrary.ca/en/event/bilingual-family-storytime-contes-en-famille-bilingue-88,Bilingual Family Storytime,Thursday,6-Mar-25,20-Mar-25,11:15am,Hunt Club Riverside Park Community Centre,3320 Paul Anka Dr,West - Nepean,Bilingual,Family,Family storytime
https://biblioottawalibrary.ca/en/event/stay-play-10,Stay & Play,Thursday,6-Mar-25,26-Jun-25,11:45am,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Family,Kids
https://biblioottawalibrary.ca/en/event/free-income-tax-clinic-clinique-d%E2%80%99impots-gratuite-0,Free Income Tax Clinic,Thursday,6-Mar-25,27-Mar-25,12:30pm,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Adult, Adults 50-plus",Personal finance
https://biblioottawalibrary.ca/en/event/memory-caf%C3%A9-3,Memory Café,Thursday,6-Mar-25,4-Dec-25,1:00pm,Stittsville,1637 Stittsville Main,West - Stittsville,English,Adults 50-plus,Health and wellness
https://biblioottawalibrary.ca/en/event/rideau-thursday-english-conversation-group,Rideau Thursday English Conversation Group,Thursday,6-Mar-25,29-May-25,1:00pm,Rideau,377 Rideau,Central,English,"Adult, Adults 50-plus",Language learning
https://biblioottawalibrary.ca/en/event/rosemount-writing-collective,Rosemount Writing Collective,Thursday,6-Mar-25,19-Jun-25,1:30pm,Rosemount,18 Rosemount,West - Nepean,English,"Adult, Adults 50-plus",Writing and poetry
https://biblioottawalibrary.ca/en/event/novel-conversations-23,Novel Conversations,Thursday,6-Mar-25,5-Jun-25,1:30pm,Beaverbrook,2500 Campeau,West - Kanata,English,Adult,Book Talks
https://biblioottawalibrary.ca/en/event/book-banter-january-june-2025,Book Banter (January to June 2025),Thursday,6-Mar-25,5-Jun-25,2:00pm,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Book Talks
https://biblioottawalibrary.ca/en/event/carp-book-club-2025,Carp Book Club 2025,Thursday,6-Mar-25,5-Jun-25,2:30pm,Carp,3911 Carp,West - Carp,English,"Adult, Adults 50-plus",Book Clubs
https://biblioottawalibrary.ca/en/event/pop-activities-every-thursday-rockcliffe-park-1,Pop up activities - every Thursday at Rockcliffe Park,Thursday,6-Mar-25,13-Mar-25,3:00pm,Rockcliffe Park,380 Springfield,East - Vanier,English,Child,Kids
https://biblioottawalibrary.ca/en/event/weekly-teen-drop,Weekly Teen Drop-In,Thursday,6-Mar-25,26-Jun-25,3:30pm,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,Teen,"Arts and Crafts, Games and Gaming, Hobbies and Interests"
https://biblioottawalibrary.ca/en/event/chess-club-drop-club-d%C3%A9checs-pour-jeunes,Chess Club drop-in | Club d'échecs pour jeunes,Thursday,6-Mar-25,5-Jun-25,4:00pm,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,"Child, Teen",Games and Gaming
https://biblioottawalibrary.ca/en/event/english-conversation-group-39,English Conversation Group,Thursday,6-Mar-25,12-Jun-25,5:30pm,Emerald Plaza,1547 Merivale,West - Nepean,English,"Adult, Adults 50-plus, Newcomers",Language learning
https://biblioottawalibrary.ca/en/event/films-en-fran%C3%A7ais-1,Films en français,Thursday,6-Mar-25,24-Apr-25,6:00pm,Main,120 Metcalfe,Central,Français,Adult,Film and Movie Showing
https://biblioottawalibrary.ca/en/event/dungeons-dragons-adults-3,Dungeons & Dragons for Adults,Thursday,6-Mar-25,27-Mar-25,6:00pm,Sunnyside,1049 Bank,South - Alta Vista,English,Adult,Games and Gaming
