Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/granny-squares-warmth-2024-2025,Granny Squares for Warmth 2024-2025,Tuesday,13-May-25,10-Jun-25,15:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/elmvale-writers-group,Elmvale Writers Group,Tuesday,13-May-25,17-Jun-25,17:00,Elmvale Acres,1910 St-Laurent,South - Alta Vista,English,"Adult, Teen",Writing and poetry
https://booking.biblioottawalibrary.ca/en/event/board-games-brain-teasers-1,Board Games & Brain Teasers,Tuesday,13-May-25,24-Jun-25,17:30,Centennial,3870 Old Richmond,West - Nepean,English,"Adult, Family, Teen",Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/greely-garden-club-0,Greely Garden Club,Tuesday,13-May-25,14-Oct-25,18:00,Greely,1448 Meadow Drive,South - Greely,English,Adult,Home and garden
https://booking.biblioottawalibrary.ca/en/event/libby-101-your-library-your-pocket-0,Libby 101: Your Library in Your Pocket,Tuesday,13-May-25,13-May-25,18:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus",Computers and technology
https://booking.biblioottawalibrary.ca/en/event/homework-help-aide-aux-devoirs-33,Homework Help,Tuesday,13-May-25,24-Jun-25,18:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,Child,Homework and Reading Support
https://booking.biblioottawalibrary.ca/en/event/greely-garden-club-0,Greely Garden Club,Tuesday,13-May-25,14-Oct-25,18:00,Greely,1448 Meadow Drive,South - Greely,English,Adult,Home and garden
https://booking.biblioottawalibrary.ca/en/event/hazeldean-cookbook-book-club-2024-2025-season-0,Hazeldean Cookbook Book Club (2024-2025 Season),Tuesday,13-May-25,10-Jun-25,18:30,Hazeldean,50 Castlefrank,West - Kanata,English,"Adult, Adults 50-plus",Book Talks
https://booking.biblioottawalibrary.ca/en/event/club-de-lecture-23,Club de lecture,Tuesday,13-May-25,10-Jun-25,18:30,Nepean Centrepointe,101 Centrepointe,West - Nepean,Français,"Adult, Adults 50-plus",Book Talks
https://booking.biblioottawalibrary.ca/en/event/dickinson-reads-book-club-5,Dickinson Reads Book Club,Wednesday,14-May-25,11-Jun-25,10:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Book Talks
https://booking.biblioottawalibrary.ca/en/event/memory-cafe-5,Memory Cafe,Wednesday,14-May-25,11-Jun-25,10:30,Vanier,310 Pères Blancs,East - Vanier,English,Adults 50-plus,Health and wellness
https://booking.biblioottawalibrary.ca/en/event/north-gower-nifty-knitters-1,North Gower Nifty Knitters,Wednesday,14-May-25,25-Jun-25,13:00,North Gower,6579 Fourth Line,West - North Gover,English,"Adult, Adults 50-plus",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/homeschool-happenings-mon-%C3%A9cole-maison-%C3%A0-la-biblio-6,Homeschool Happenings,Wednesday,14-May-25,14-May-25,13:30,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,"Child, Family",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/book-chat-fayne,Book Chat - Fayne,Wednesday,14-May-25,14-May-25,13:30,Centennial,3870 Old Richmond,West - Nepean,English,Adult,Book Clubs
https://booking.biblioottawalibrary.ca/en/event/pre-planning-people-disabilities-parents-death-caf%C3%A9,Pre-planning for people with disabilities for parents (Death Café),Wednesday,14-May-25,14-May-25,14:00,North Gloucester,2036 Ogilvie,East - Vanier,English,"Adult, Adults 50-plus",Health and wellness
https://booking.biblioottawalibrary.ca/en/event/manotick-afternoon-book-club-2,Manotick Afternoon Book Club,Wednesday,14-May-25,10-Dec-25,15:00,Manotick,5499 South River,West - Manotick,English,"Adult, Adults 50-plus",Book Talks
https://booking.biblioottawalibrary.ca/en/event/kinder-conundrum,Kinder Conundrum,Wednesday,14-May-25,14-May-25,16:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Teen,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/techno-buddies%E2%80%8B,Techno Buddies​,Wednesday,14-May-25,11-Jun-25,16:00,Elmvale Acres,1910 St-Laurent,South - Alta Vista,English,"Adult, Adults 50-plus",Computers and technology
https://booking.biblioottawalibrary.ca/en/event/actionadventure-wednesdays-monkey-man,Action,Wednesday,14-May-25,14-May-25,18:00,Main,120 Metcalfe,Central,English,Adult,Film and Movie Showing
https://booking.biblioottawalibrary.ca/en/event/rideau-morning-book-club,Rideau Morning Book Club,Thursday,15-May-25,15-May-25,10:15,Rideau,377 Rideau,Central,English,"Adult, Adults 50-plus",Book Talks
https://booking.biblioottawalibrary.ca/en/event/le-nouveau-chapitre-0,Le nouveau chapitre,Thursday,15-May-25,15-May-25,14:00,Cumberland,1599 Tenth Line,East - Orleans,Français,"Adult, Adults 50-plus",Book Clubs
https://booking.biblioottawalibrary.ca/en/event/writing-circle,Writing Circle,Thursday,15-May-25,19-Jun-25,15:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Writing and poetry
https://booking.biblioottawalibrary.ca/en/event/pyjama-storytime-2,Pyjama Storytime,Thursday,15-May-25,15-May-25,18:00,Manotick,5499 South River,West - Manotick,English,"Child, Family, Preschool","Family storytime, Kids, Storytime"
https://booking.biblioottawalibrary.ca/en/event/crafting-story-book-club,Crafting A Story Book Club,Thursday,15-May-25,19-Jun-25,18:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Child,"Arts and Crafts, Book Clubs"
https://booking.biblioottawalibrary.ca/en/event/sleuth-hounds-may-2025,Sleuth Hounds (May 2025),Thursday,15-May-25,15-May-25,18:30,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Book Clubs
https://booking.biblioottawalibrary.ca/en/event/sleuth-hounds-may-2025,Sleuth Hounds (May 2025),Thursday,15-May-25,15-May-25,18:30,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Book Clubs
https://booking.biblioottawalibrary.ca/en/event/club-de-lecture-rd-0,Club de lecture RD,Thursday,15-May-25,19-Jun-25,19:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,Français,Adult,Book Talks
https://booking.biblioottawalibrary.ca/en/event/science-fiction-fantasy-book-club-29,Science Fiction Fantasy Book Club,Thursday,15-May-25,19-Jun-25,19:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus",Book Clubs
https://booking.biblioottawalibrary.ca/en/event/sci-fi-fridays-beyond-infinite-two-minutes-dorosute-no-hate-de-bokura,Sci-Fi Fridays: Beyond the Infinite Two Minutes: Dorosute no hate de bokura,Friday,16-May-25,16-May-25,14:00,Cumberland,1599 Tenth Line,East - Orleans,English,"Adult, Adults 50-plus, Teen",Film and Movie Showing
https://booking.biblioottawalibrary.ca/en/event/adult-crafternoon-tissue-paper-heart-bookmarks-cards,Adult Crafternoon: Tissue Paper Heart Bookmarks & Cards,Friday,16-May-25,16-May-25,14:00,Manotick,5499 South River,West - Manotick,English,"Adult, Adults 50-plus","Arts and Crafts, Hobbies and Interests"
https://booking.biblioottawalibrary.ca/en/event/sunnyside-mystery-book-club-5,Sunnyside Mystery Book Club,Friday,16-May-25,20-Jun-25,14:00,Sunnyside,1049 Bank,South - Alta Vista,English,"Adult, Adults 50-plus",Book Talks
https://booking.biblioottawalibrary.ca/en/event/create-artist-1,Create Like an Artist,Friday,16-May-25,16-May-25,14:30,Hazeldean,50 Castlefrank,West - Kanata,English,"Adult, Adults 50-plus",Arts and Crafts
https://booking.biblioottawalibrary.ca/en/event/wii-u-game-h,Wii U Game On! H,Friday,16-May-25,16-May-25,16:00,Carlingwood,281 Woodroffe,West - Nepean,English,"Child, Family",Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/plant-swap-2,Plant Swap,Saturday,17-May-25,17-May-25,10:00,Stittsville,1637 Stittsville Main,West - Stittsville,English,"Adult, Family","Hobbies and Interests, Home and garden"
https://booking.biblioottawalibrary.ca/en/event/animal-adventure,Animal Adventure,Saturday,17-May-25,17-May-25,10:30,Manotick,5499 South River,West - Manotick,English,"Child, Teen","Games and Gaming, Hobbies and Interests, Kids, Science and Discovery, Travel"
