Latitude,Longitude,OBJECTID,PARK_ID,FACILITYID,Name,Address,Washroom,Picnic Table,Zip Line,Baby Swing,Water Play,Water Fountain,Fenced area,Accessibility,Base,Parking,Note
45.286435,-75.7403855,951,732,31836,Utman Park,280 Mountshannon Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3611414,-75.7980097,364,182,31229,Britannia Park,2805 Carling Avenue,Yes - Permanent,Yes - Covered,No,Yes,None,Yes - Permanent,No,None,Sand,Yes,Beach access. Seasonal restaurant. Rentals. Two kids playgrounds. Huge beach.
45.3175382,-75.6109602,515,2457,35635,Diamond Jubilee Park,2810 Findlay Creek Drive / 4008 Kelly Farm Drive,TBD,Yes - Covered,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,Yes,
45.3178055,-75.9268132,99,1084,32797,Tanmount Park,283 Goldridge Drive,TBD,TBD,TBD,TBD,TBD,TBD,Yes,TBD,TBD,TBD,
45.349089,-75.709384,835,2408,35129,Citiplace Park,285 Citiplace Drive,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.3779345,-75.6475795,503,968,32065,Sandalwood Park,2850 Sandalwood Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4277289,-75.6788502,1025,228,31280,Cindy Mitchell Park,288 Chapel Street,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.1639039,-75.9392429,463,734,31840,Dogwood Park and Munster Hamlet Community Centre,2890 Munster Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2766453,-75.7269669,601,83,32451,Greenpointe Park,29 Greenpointe Drive,TBD,TBD,TBD,Yes,TBD,TBD,No,TBD,TBD,TBD,
45.3264182,-75.8124855,15,583,31707,Donoghue Memorial Park,29 Larkspur Drive,No,No,No,Yes,None,No,No,Accessible swing,Mulch,Yes,
45.3216925,-75.6926184,190,673,31775,Cedardale Park,29 Mary Drive,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.2738466,-75.8464356,602,2494,35577,Crownridge Park,290 Meadowbreeze Drive,No,Yes - Covered,No,Yes,Splash Pad,No,No,None,Mulch,No,Separate sandbox area. No seperate toddler area. Splash pad is directly next to structure
45.358765,-75.8055031,754,470,31604,Grandeur Park,2915 Haughton Avenue,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3159704,-75.6042014,1173,2040,36248,Dragonfly Park,2920 Findlay Creek Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3717326,-75.6548206,1683,12,32823,Walkley Albion Park,2930 Albion Road North,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4025093,-75.727228,1259,197,32711,McCormick Park,294 Carruthers Avenue,No,Yes - Covered,No,No,None,No,Yes,None,Sand,No,
45.394589,-75.7525979,1011,376,31482,Lion's Park,294 Elmgrove Avenue,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4629575,-75.9721692,131,1594,32565,Dunrobin Shores Park,2940 Barlow Crescent,TBD,TBD,TBD,TBD,TBD,TBD,No,TBD,TBD,TBD,
45.3958329,-75.7556948,492,239,31302,Roy Duncan Park,295 Churchill Avenue North,TBD,TBD,TBD,TBD,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.3553073,-75.8013662,1334,711,31820,Marlene Catterall Park,2955 Michèle Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3337865,-75.8023198,103,69,31090,Brucelands Park,2960 Baseline Road,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.3678805,-75.6924625,807,940,58653,Mooney's Bay Park,2960 Riverside Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3589985,-75.6863939,993,786,31886,Otterson Park,2960 Upper Otterson Place,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.139363,-75.7190005,1274,305,31366,Meadowbrook Park (Rideau),2972 Danbury Way,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.376755,-75.6400748,1699,384,31505,Fairlea Park,2989 Fairlea Crescent,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.3556855,-75.6356638,812,964,32058,Sieveright Park,2999 Sable Ridge Drive,No,Yes - Covered,No,Yes,None,No,No,None,Sand,No,"There is a small lot, but it's always been chained off"
45.4522275,-75.615467,12,1178,32293,Birdland Park,3 Whippoorwill Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4368362,-75.5620138,410,155,32570,Harold Diceman Park,30 Diceman Crescent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.3648534,-75.6248557,1672,1642,32456,Reston Park,30 Huntersfield Drive,TBD,TBD,TBD,TBD,TBD,TBD,No,TBD,TBD,TBD,
45.1999751,-75.8355926,865,1507,49139,Kings Grant Park,30 Queenston Drive / 36 Dr. Neelan Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2731426,-75.751909,1570,1174,32282,Moloughney Park,30 Wessex Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3359837,-75.7308986,1612,1190,32309,Tanglewood Park,30 Woodfield Drive,Yes - Permanent,Yes - Not Covered,No,Yes,None,No,No,None,Sand,No,Washroom is at the community centre
45.4402219,-75.6321793,882,1573,32546,Dr. John Hopps Park,300 Den Haag Drive,No,Yes - Covered,No,Yes,Splash Pad,No,No,None,Sand,Yes,
45.444192,-75.6613008,145,324,32754,Richelieu Park,300 des Pères-Blancs Avenue,No,No,No,No,None,No,No,None,Mulch,Yes,"Washroom and water fountain at Vanier Library, or Richelieu-Vanier community centre. Parking lot is a 5+ minute walk from the playground."
45.356473,-75.3419298,645,2528,49171,Cassandra Park,3000 Cassandra Street,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4446566,-75.6349812,1631,2519,49161,LeBoutillier Park,301 Leboutillier Avenue,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.2845631,-75.8943374,652,2636,53761,Susanna Kemp Park,301 Ponderosa Street,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2521778,-75.746448,217,2456,56765,Freshwater Parkette,3025 Freshwater Way,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2522805,-75.808561,318,1060,32179,Terry Carisse Park,3035 Steeple Hill Crescent,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3054541,-75.9049703,227,314,31377,Davis Park,304 Davis Avenue,No,No,No,Yes,None,No,No,None,Sand,No,
45.3933536,-76.1873343,1411,558,31684,Kinburn Community Centre,3045 Kinburn Side Road,TBD,TBD,TBD,Yes,TBD,TBD,Yes,TBD,TBD,TBD,
45.4498784,-75.6368299,649,2600,49263,Wing Officer Willa Walker Park,305 Lysander Place,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.2626291,-75.7639597,215,2463,35401,Fraser Fields Parkette,309 Harthill Way,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
