Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/saturday-family-storytime-90,Saturday Family Storytime,Saturday,17-Jan-26,07-Mar-26,10:30,Centennial,3870 Old Richmond,West - Nepean,English,Family,"Family storytime, Kids"
https://booking.biblioottawalibrary.ca/en/event/saturday-family-storytime-heure-du-conte-du-samedi-1,Saturday Family Storytime | Heure du conte du samedi,Saturday,17-Jan-26,07-Mar-26,11:00,Main,120 Metcalfe,Central,Bilingual,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/family-crafternoon-1,Family Crafternoon,Saturday,17-Jan-26,14-Mar-26,11:00,Metcalfe village,8243 Victoria St,South - Metcalfe,English,Family,Arts and Crafts
https://booking.biblioottawalibrary.ca/en/event/agventure-mon-ami-le-lapin-8,AgVenture: Mon ami le lapin,Saturday,17-Jan-26,17-Jan-26,11:30,Elmvale Acres,1910 St-Laurent,South - Alta Vista,Français,Family,Science and Discovery
https://booking.biblioottawalibrary.ca/en/event/agventure-pauline-la-poule%C2%A0-0,AgVenture: Pauline la poule,Saturday,17-Jan-26,17-Jan-26,11:30,Richmond,6240 Perth Street,West - Richmond,Français,"Child, Family","Kids, Science and Discovery"
https://booking.biblioottawalibrary.ca/en/event/stories-start-here-free-workshop-beginners,Stories Start Here: a free workshop for Beginners,Saturday,17-Jan-26,16-May-26,12:00,Sunnyside,1049 Bank,South - Alta Vista,English,Adult,Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/teen-study-space-reserved-espace-d%E2%80%99%C3%A9tude-pour-ados-%E2%80%93-r%C3%A9serv%C3%A9,Teen Study Space Reserved,Saturday,17-Jan-26,24-Jan-26,12:30,Centennial,3870 Old Richmond,West - Nepean,Bilingual,Teen,Homework and Reading Support
https://booking.biblioottawalibrary.ca/en/event/english-conversation-group-21,English Conversation Group,Saturday,17-Jan-26,19-Dec-26,13:00,Orléans,1705 Orléans,East - Orleans,English,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-6,Groupe de conversation en français,Saturday,17-Jan-26,28-Mar-26,13:00,Elmvale Acres,1910 St-Laurent,South - Alta Vista,Français,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/knitting-and-crochet-help-sessions-sessions-d%E2%80%99aide-de-tricot-et-crochet,Knitting and Crochet Help Sessions,Saturday,17-Jan-26,20-Jun-26,13:00,Orléans,1705 Orléans,East - Orleans,Bilingual,Adult,Hobbies and Interests
