Sort Order,Day of week,Time of day,Pool Name,Address,Area,Swim Type,Reservation Required?,URL
1,Monday,08:00 - 09:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
1,Monday,08:00 - 09:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
1,Monday,08:00 - 09:00,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,East - Orleans,Public swim (therapeutic pool only),No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
1,Monday,08:00 - 09:00,Ray Friel Recreation Complex,1585 Tenth Line Road,East - Orleans,Aquafit - shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/ray-friel-recreation-complex
1,Monday,08:00 - 09:00,Ray Friel Recreation Complex,1585 Tenth Line Road,East - Orleans,Aquafit - deep,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/ray-friel-recreation-complex
1,Monday,08:00 - 10:00,Kanata Leisure Centre and Wave Pool,70 Aird Place,West - Kanata,Lane Swim ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/kanata-leisure-centre-and-wave-pool
1,Monday,08:00 - 13:00,Kanata Leisure Centre and Wave Pool,70 Aird Place,West - Kanata,Hot Tub and Sauna ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/kanata-leisure-centre-and-wave-pool
1,Monday,08:30 - 09:25,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Aqua General Deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,08:30 - 09:25,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Aqua General Shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,08:30 - 09:30,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Aquafit - general,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
1,Monday,08:30 - 09:30,Splash Wave Pool,2040 Ogilvie Road,East,Aquafit general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
1,Monday,08:30 - 09:30,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Aquafit general - shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
1,Monday,08:30 - 09:30,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Aquafit - general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
1,Monday,08:30 - 09:30,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Aquafit - general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
1,Monday,08:30 - 09:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Aqua General - Shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
1,Monday,08:30 - 09:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Aqua General - Deep,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
1,Monday,08:30 - 10:00,Lowertown Community Centre and Pool,40 Cobourg Street,Central,Lane swim ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/lowertown-community-centre-and-pool
1,Monday,08:30 - 10:30,Richcraft Recreation Complex-Kanata,4101 Innovation Drive,West - Kanata,Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/richcraft-recreation-complex-kanata
1,Monday,08:30 - 11:30,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Lane Swim - shared Pool,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,08:30 - 13:00,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Lane swim - 50m long course,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
1,Monday,08:30 - 15:00,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Lane swim – reduced capacity (shared pool),No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
1,Monday,08:35 - 09:30,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,West - Stittsville,Aqua general - Shallow/Deep combo,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
1,Monday,09:00 - 10:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
1,Monday,09:00 - 10:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
1,Monday,09:00 - 10:00,Canterbury Recreation Complex,2185 Arch Street,South,Aquafit general,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
1,Monday,09:00 - 10:00,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
1,Monday,09:00 - 10:00,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
1,Monday,09:00 - 11:30,Plant Recreation Centre,930 Somerset Street West,Central,Lane swim - reduced capacity,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
1,Monday,09:00 - 13:00,Ray Friel Recreation Complex,1585 Tenth Line Road,East - Orleans,Lane Swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/ray-friel-recreation-complex
1,Monday,09:30 - 10:25,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Aqua General Deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,09:30 - 10:25,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Aqua General Shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,09:30 - 10:30,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Aquafit - general,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
1,Monday,09:30 - 10:30,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Preschool Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
1,Monday,09:30 - 10:30,Splash Wave Pool,2040 Ogilvie Road,East,Aquafit general - shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
1,Monday,09:30 - 10:30,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Aquafit general - deep,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
