PARK_ID,src,alt,credit_name,credit_url
1032,/assets/img/playgrounds/1032-optimiste-01.jpg,Playground at Optimiste Park,Claudie Larouche,https://claudielarouche.com
1032,/assets/img/playgrounds/1032-optimiste-02.jpg,Swings at Optimiste Park,Claudie Larouche,https://claudielarouche.com
1045,/assets/img/playgrounds/1045-billy-bishop-01.jpg,Billy Bishop Park playground,Claudie Larouche,https://claudielarouche.com
